genome,bad_class_bp,bad_class_n,bad_family_bp,bad_family_n,bad_genus_bp,bad_genus_n,bad_order_bp,bad_order_n,bad_phylum_bp,bad_phylum_n,bad_superkingdom_bp,bad_superkingdom_n,comment,f_ident,f_major,filter_at,good_class_bp,good_class_n,good_family_bp,good_family_n,good_genus_bp,good_genus_n,good_order_bp,good_order_n,good_phylum_bp,good_phylum_n,good_superkingdom_bp,good_superkingdom_n,ignored_contigs_bp,ignored_contigs_n,lineage,noident_contigs_bp,noident_contigs_n,total_bad_bp,total_contigs_bp,total_contigs_n
TARA_RED_MAG_00024.fa,13340,3,13340,3,13340,3,13340,3,13340,3,0,0,,0.9937870658006213,0.8917149332661798,genus,3667855,182,3667855,182,3667855,182,3667855,182,3667855,182,3681195,185,5855,2,d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA3505;f__UBA3505;g__UBA3505,287928,26,13340,4064886,233
TARA_PSE_MAG_00042.fa,0,0,13310,2,13310,2,13310,2,0,0,0,0,,0.9853398489560196,0.5322771340742493,genus,3459605,301,3446295,299,3446295,299,3446295,299,3459605,301,3459605,301,19841,7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,155193,30,13310,4347149,468
TARA_RED_MAG_00106.fa,13293,2,13293,2,13293,2,13293,2,13293,2,0,0,,0.9772151898734177,0.32416906032006565,genus,822917,120,822917,120,822917,120,822917,120,822917,120,836210,122,37701,13,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70,779943,200,13293,2443502,517
TARA_MED_MAG_00041.fa,13208,2,13208,2,13208,2,13208,2,13208,2,13208,2,,0.9846328969834945,0.4877845641310383,genus,3028300,185,3028300,185,3017241,184,3028300,185,3028300,185,3028300,185,8648,3,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10,166743,35,13208,3616687,299
TARA_RED_MAG_00070.fa,12804,2,12804,2,12804,2,12804,2,12804,2,0,0,,0.9712351945854484,0.3721662468513854,genus,1045461,75,1045461,75,1045461,75,1045461,75,1045461,75,1058265,77,5952,2,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__UBA1328,237189,45,12804,1580741,165
TARA_ION_MAG_00015.fa,0,0,12672,1,12672,1,0,0,0,0,0,0,,0.9886095836606441,0.849799732977303,genus,2815592,78,2802920,77,2802920,77,2815592,78,2815592,78,2815592,78,3358,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,121898,6,12672,2980441,91
TARA_PON_MAG_00018.fa,12534,2,12534,2,12534,2,12534,2,0,0,0,0,,0.9901664145234493,0.9042407660738714,genus,1319053,116,1319053,116,1319053,116,1319053,116,1331587,118,1331587,118,2655,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA7916;g__UBA7916,69820,11,12534,1461293,145
TARA_ASW_MAG_00016.fa,0,0,12323,1,12323,1,12323,1,0,0,0,0,,0.9904848210240145,0.825355272999252,genus,2096492,297,2079615,295,2074744,294,2084169,296,2096492,297,2096492,297,28468,10,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas,105259,24,12323,2623217,434
TARA_MED_MAG_00078.fa,0,0,0,0,12073,2,0,0,0,0,0,0,,0.9863505747126436,0.8032313906520485,genus,1414952,125,1414952,125,1402879,123,1414952,125,1414952,125,1414952,125,9515,3,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1,149588,39,12073,1717290,205
TARA_ANW_MAG_00046.fa,12017,2,12017,2,12017,2,12017,2,12017,2,12017,2,,0.9976525821596244,0.6966475878986099,genus,1152979,77,1152979,77,1152979,77,1152979,77,1152979,77,1152979,77,5783,2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5,27939,8,12017,1302485,112
TARA_ASW_MAG_00037.fa,11509,2,11509,2,11509,2,11509,2,11509,2,11509,2,,1.0,0.006925207756232687,genus,0,0,0,0,0,0,0,0,0,0,0,0,29153,9,d__Eukaryota,2133407,393,11509,2179362,406
TARA_IOS_MAG_00076.fa,11481,2,11481,2,11481,2,11481,2,11481,2,11481,2,,1.0,0.004844290657439446,genus,0,0,0,0,0,0,0,0,0,0,0,0,81539,28,d__Eukaryota,2758683,816,11481,2867483,848
TARA_PSE_MAG_00109.fa,0,0,0,0,11464,1,0,0,0,0,0,0,,0.9983801295896328,0.7343378271213322,genus,1932261,176,1932261,176,1920797,175,1932261,176,1932261,176,1932261,176,2888,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera,458477,82,11464,2531001,293
TARA_ANE_MAG_00077.fa,11301,2,11301,2,11301,2,11301,2,11301,2,0,0,,0.9792682926829268,0.34982935153583616,genus,850291,120,850291,120,850291,120,850291,120,850291,120,861592,122,33890,11,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096,532456,135,11301,2359266,477
TARA_PON_MAG_00068.fa,10582,2,10582,2,10582,2,10582,2,10582,2,0,0,,0.995631825273011,0.9038353073886068,genus,2604334,549,2604334,549,2604334,549,2604334,549,2604334,549,2614916,551,84673,27,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__UBA7800,219473,57,10582,3654749,846
TARA_ASE_MAG_00028.fa,9853,3,9853,3,9853,3,9853,3,9853,3,0,0,,0.8947368421052632,0.21348314606741572,genus,303950,78,303950,78,303950,78,303950,78,303950,78,313803,81,76222,25,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula,1638503,473,9853,2401790,684
TARA_RED_MAG_00083.fa,9842,2,9842,2,9842,2,9842,2,9842,2,0,0,,0.9947753396029259,0.7935323383084577,genus,958645,124,958645,124,958645,124,958645,124,958645,124,968487,126,14956,5,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__UBA8592,28379,9,9842,1203399,188
TARA_ION_MAG_00042.fa,9775,2,9775,2,9775,2,9775,2,9775,2,0,0,,0.9871621621621621,0.7969843834141088,genus,1393832,221,1393832,221,1393832,221,1393832,221,1393832,221,1403607,223,27467,9,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589,47383,15,9775,1865483,348
TARA_ASE_MAG_00002.fa,9764,1,9764,1,9764,1,9764,1,9764,1,0,0,,0.9974626444883,0.9828207259628706,genus,3586035,135,3586035,135,3586035,135,3586035,135,3586035,135,3595799,136,0,0,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA840;g__UBA6502,49479,3,9764,3666930,146
TARA_ANW_MAG_00025.fa,4724,1,9618,2,9618,2,9618,2,4724,1,4724,1,,0.9825970548862115,0.744765702891326,genus,697637,116,692743,115,692743,115,692743,115,697637,116,697637,116,5912,2,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA826;g__AG-426-M11,103427,24,9618,1013203,196
TARA_PSW_MAG_00030.fa,9576,1,9576,1,9576,1,9576,1,9576,1,9576,1,,0.9982893450635386,0.9129852744310576,genus,4336272,182,4336272,182,4336272,182,4336272,182,4336272,182,4336272,182,3299,1,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA727;f__GCA-2721815;g__GCA-2721815,119997,18,9576,4528474,215
TARA_PSE_MAG_00035.fa,0,0,0,0,9218,1,0,0,0,0,0,0,,0.9783068783068783,0.5650224215246636,genus,2415631,254,2404920,253,2371489,251,2404920,253,2415631,254,2415631,254,26161,8,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Cobetia,222612,50,9218,3384971,459
TARA_RED_MAG_00102.fa,0,0,9008,2,9008,2,9008,2,0,0,0,0,,0.9846582984658299,0.32502266545784225,genus,799461,111,790453,109,790453,109,790453,109,799461,111,799461,111,29190,8,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__UBA830;g__UBA830,421008,106,9008,2168506,408
TARA_PSW_MAG_00129.fa,0,0,5189,1,8995,2,0,0,0,0,0,0,,0.9950819672131147,0.7253269916765755,genus,1766569,297,1761380,296,1757574,295,1766569,297,1766569,297,1766569,297,60495,19,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,81273,24,8995,2607126,521
TARA_ASW_MAG_00004.fa,0,0,8871,2,8871,2,5783,1,0,0,0,0,,0.9939455095862765,0.9618246522161112,genus,3031830,242,3022959,240,3022959,240,3026047,241,3031830,242,3031830,242,17798,4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleibacter,9997,3,8871,3202824,282
TARA_ANW_MAG_00007.fa,8715,1,8715,1,8715,1,8715,1,8715,1,0,0,,0.9970537687208446,0.9059163701067615,genus,4193455,303,4193455,303,4193455,303,4193455,303,4193455,303,4202170,304,0,0,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,78866,16,8715,4419433,353
TARA_MED_MAG_00024.fa,8349,2,8349,2,8349,2,8349,2,8349,2,0,0,,0.9915966386554622,0.8099476439790576,genus,1628428,91,1628428,91,1628428,91,1628428,91,1628428,91,1636777,93,0,0,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__MedAcidi-G2A,166412,22,8349,1872758,130
TARA_MED_MAG_00108.fa,0,0,0,0,8259,2,0,0,0,0,0,0,,0.9925925925925926,0.8256880733944955,genus,970837,153,970837,153,962578,151,970837,153,970837,153,970837,153,19938,6,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C,44999,11,8259,1248452,232
TARA_PSE_MAG_00107.fa,0,0,0,0,8063,2,0,0,0,0,0,0,,0.9839357429718876,0.5198329853862212,genus,815438,159,815438,159,802356,156,815438,159,815438,159,815438,159,39962,13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter,360297,95,8063,2021841,476
TARA_IOS_MAG_00029.fa,2969,1,7957,2,7957,2,2969,1,0,0,0,0,,0.9929078014184397,0.7911823647294589,genus,2104014,259,2093111,257,2093111,257,2104014,259,2106983,260,2106983,260,25842,8,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421,106636,23,7957,2507845,353
TARA_ANW_MAG_00045.fa,7930,1,7930,1,7930,1,7930,1,7930,1,7930,1,,0.9915966386554622,0.5961177207263619,genus,1056709,100,1056709,100,1056709,100,1056709,100,1056709,100,1056709,100,15293,5,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2,284955,55,7930,1634296,208
TARA_ANE_MAG_00041.fa,0,0,7834,1,7834,1,0,0,0,0,0,0,,0.9839679358717435,0.3158227848101266,genus,949943,68,942109,67,942109,67,949943,68,949943,68,949943,68,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2715565,326105,53,7834,1515503,156
TARA_RED_MAG_00066.fa,7626,1,7626,1,7626,1,7626,1,7626,1,0,0,,0.9938650306748467,0.8850678733031674,genus,1057404,63,1057404,63,1057404,63,1057404,63,1057404,63,1065030,64,9795,3,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__GCA-2728255,18559,5,7626,1134492,82
TARA_MED_MAG_00103.fa,0,0,7437,1,7437,1,7437,1,0,0,0,0,,0.9990732159406858,0.6362028301886793,genus,1095746,156,1088309,155,1088309,155,1088309,155,1095746,156,1095746,156,40364,12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__HIMB100,275970,48,7437,1716554,286
TARA_IOS_MAG_00078.fa,7265,2,7265,2,7265,2,7265,2,7265,2,7265,2,,1.0,0.0034982508745627187,genus,0,0,0,0,0,0,0,0,0,0,0,0,105719,33,d__Eukaryota,1986825,544,7265,2099809,579
TARA_PON_MAG_00083.fa,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,,1.0,0.003088803088803089,genus,0,0,0,0,0,0,0,0,0,0,0,0,110510,38,d__Eukaryota,2505673,739,7260,2623443,778
TARA_ION_MAG_00002.fa,7216,1,7216,1,7216,1,7216,1,7216,1,0,0,,0.9919431279620853,0.6585518102372035,genus,3180668,83,3180668,83,3180668,83,3180668,83,3180668,83,3187884,84,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,20220,3,7216,3232488,92
TARA_ANW_MAG_00077.fa,7199,2,7199,2,7199,2,7199,2,7199,2,0,0,,0.9947285187137586,0.8353148392778512,genus,2004860,193,2004860,193,2004860,193,2004860,193,2004860,193,2012059,195,3596,1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,78639,17,7199,2297205,262
TARA_MED_MAG_00010.fa,7133,1,7133,1,7133,1,7133,1,7133,1,0,0,,0.9954819277108434,0.24915572232645403,genus,1769613,89,1769613,89,1769613,89,1769613,89,1769613,89,1776746,90,3334,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA4465,291097,51,7133,2737786,224
TARA_ANW_MAG_00035.fa,7104,1,7104,1,7104,1,7104,1,7104,1,0,0,,0.9885714285714285,0.2589715131335553,genus,1228794,100,1228794,100,1228794,100,1228794,100,1228794,100,1235898,101,29196,10,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268,538082,119,7104,2657195,378
TARA_MED_MAG_00065.fa,7023,1,7023,1,7023,1,7023,1,0,0,0,0,,0.9960031974420464,0.7103918228279387,genus,1496321,41,1496321,41,1496321,41,1496321,41,1503344,42,1503344,42,3221,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48,65352,9,7023,1791206,63
TARA_RED_MAG_00055.fa,0,0,0,0,6944,1,0,0,0,0,0,0,,0.9819078947368421,0.34138124649073553,genus,1458409,67,1458409,67,1451465,66,1458409,67,1458409,67,1458409,67,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K2,144346,23,6944,1823078,123
TARA_ASE_MAG_00020.fa,3709,1,6762,2,6762,2,6762,2,3709,1,0,0,,0.990027700831025,0.8426704014939309,genus,1424743,287,1421690,286,1421690,286,1421690,286,1424743,287,1428452,288,46563,15,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,64628,19,6762,2066896,473
TARA_ASE_MAG_00022.fa,0,0,0,0,6687,2,0,0,0,0,0,0,,0.997355896351137,0.8411921708185054,genus,1834074,260,1834074,260,1827387,258,1834074,260,1834074,260,1834074,260,16008,5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11,55701,17,6687,2274327,378
TARA_PSW_MAG_00056.fa,0,0,0,0,6598,1,0,0,0,0,0,0,,0.9913258983890955,0.8931931377974544,genus,1719924,126,1719924,126,1713326,125,1719924,126,1719924,126,1719924,126,5480,2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia,43825,10,6598,1859782,157
TARA_ASE_MAG_00011.fa,0,0,6556,1,6556,1,0,0,0,0,0,0,,0.9860515021459227,0.6657142857142857,genus,922966,153,916410,152,916410,152,922966,153,922966,153,922966,153,35515,11,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2,153844,43,6556,1465240,292
TARA_ANW_MAG_00018.fa,6291,2,6291,2,6291,2,6291,2,6291,2,0,0,,0.9924487594390508,0.8336330935251799,genus,2061342,217,2061342,217,2061342,217,2061342,217,2061342,217,2067633,219,15546,5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__NAT5454,55243,13,6291,2300803,279
TARA_RED_MAG_00002.fa,6252,1,6252,1,6252,1,6252,1,6252,1,0,0,,0.9919137466307277,0.5029371893357434,genus,1985823,62,1985823,62,1985823,62,1985823,62,1985823,62,1992075,63,5813,2,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-2722105,119126,13,6252,2177492,86
TARA_ANE_MAG_00012.fa,6182,1,6182,1,6182,1,6182,1,6182,1,0,0,,0.9868421052631579,0.6223839854413102,genus,885649,24,885649,24,885649,24,885649,24,885649,24,891831,25,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA1515;g__UBA1515,193461,13,6182,1104700,39
TARA_ANE_MAG_00086.fa,5989,2,5989,2,5989,2,5989,2,5989,2,5989,2,,1.0,0.0011425669671194618,genus,0,0,0,0,0,0,0,0,0,0,0,0,167250,55,d__Eukaryota,7573458,1853,5989,7749457,1911
TARA_ION_MAG_00037.fa,0,0,0,0,5731,1,0,0,0,0,0,0,,0.9953703703703703,0.3984014755610206,genus,1406768,209,1406768,209,1401037,208,1406768,209,1406768,209,1406768,209,64505,20,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus,631014,139,5731,3189943,605
TARA_RED_MAG_00041.fa,5642,1,5642,1,5642,1,5642,1,5642,1,0,0,,0.9972844534962662,0.6902530459231491,genus,1736682,40,1736682,40,1736682,40,1736682,40,1736682,40,1742324,41,0,0,d__Bacteria;p__Chloroflexota_B;c__UBA11872;o__UBA11872;f__UBA11872;g__UBA11872,364652,34,5642,2113769,76
TARA_ANE_MAG_00079.fa,5590,1,5590,1,5590,1,5590,1,5590,1,0,0,,0.993502658003544,0.7332178432221741,genus,1532113,227,1532113,227,1532113,227,1532113,227,1532113,227,1537703,228,36657,12,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70,211237,54,5590,2334614,436
TARA_ANW_MAG_00029.fa,5589,1,5589,1,5589,1,5589,1,5589,1,0,0,,0.9948506694129763,0.7875101378751014,genus,983859,139,983859,139,983859,139,983859,139,983859,139,989448,140,14317,5,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2711125,37346,10,5589,1235550,209
TARA_ANE_MAG_00050.fa,5544,1,5544,1,5544,1,5544,1,5544,1,5544,1,,0.9938423645320197,0.8210313447927199,genus,770496,100,770496,100,770496,100,770496,100,770496,100,770496,100,14312,5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__TMED25,66312,15,5544,958701,149
TARA_ANW_MAG_00061.fa,5478,1,5478,1,5478,1,5478,1,5478,1,5478,1,,0.9703947368421053,0.25207296849087896,genus,307625,10,307625,10,307625,10,307625,10,307625,10,307625,10,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-2697345,569922,19,5478,1149603,33
TARA_PSW_MAG_00087.fa,5373,2,5373,2,5373,2,5373,2,5373,2,0,0,,0.9980952380952381,0.9461894953656025,genus,3264351,477,3264351,477,3264351,477,3264351,477,3264351,477,3269724,479,35194,12,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__BACL24,128555,37,5373,3847299,641
TARA_SOC_MAG_00010.fa,5294,1,5294,1,5294,1,5294,1,0,0,0,0,,0.9963144963144963,0.8119700748129676,genus,1817364,157,1817364,157,1817364,157,1817364,157,1822658,158,1822658,158,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48,169090,14,5294,2051317,181
TARA_IOS_MAG_00034.fa,5196,2,5196,2,5196,2,5196,2,5196,2,0,0,,0.9941921858500528,0.8432769367764915,genus,1925718,270,1925718,270,1925718,270,1925718,270,1925718,270,1930914,272,27717,8,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668,77227,24,5196,2273956,370
TARA_MED_MAG_00101.fa,5083,1,5083,1,5083,1,5083,1,5083,1,0,0,,0.9806451612903225,0.6415562913907285,genus,672363,128,672363,128,672363,128,672363,128,672363,128,677446,129,34320,9,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A,235965,49,5083,1246628,251
TARA_ANE_MAG_00032.fa,5070,1,5070,1,5070,1,5070,1,5070,1,0,0,,0.9970866715222141,0.807172251616696,genus,1413977,175,1413977,175,1413977,175,1413977,175,1413977,175,1419047,176,40186,13,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309,127498,31,5070,1808585,276
TARA_ANW_MAG_00081.fa,5011,1,5011,1,5011,1,5011,1,5011,1,5011,1,,1.0,0.0017873100983020554,genus,0,0,0,0,0,0,0,0,0,0,0,0,67133,22,d__Eukaryota,2207827,564,5011,2279971,587
TARA_ASW_MAG_00044.fa,0,0,4896,1,4896,1,4896,1,0,0,0,0,,0.9975414874001229,0.6899915182357931,genus,1171561,291,1166665,290,1166665,290,1166665,290,1171561,291,1174392,292,64154,21,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,200346,57,4896,2373764,652
TARA_ANW_MAG_00033.fa,0,0,0,0,4395,1,0,0,0,0,0,0,,0.9944223107569721,0.9081041968162084,genus,1230231,72,1230231,72,1225836,71,1230231,72,1230231,72,1230231,72,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5,55771,11,4395,1323836,91
TARA_IOS_MAG_00018.fa,4353,1,4353,1,4353,1,4353,1,4353,1,0,0,,0.9969834087481146,0.5893333333333334,genus,2312736,287,2312736,287,2312736,287,2312736,287,2312736,287,2317089,288,33199,9,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,497212,113,4353,3477938,555
TARA_PSW_MAG_00066.fa,4338,1,4338,1,4338,1,4338,1,4338,1,0,0,,0.9979402677651905,0.962816063460585,genus,1970941,87,1970941,87,1970941,87,1970941,87,1970941,87,1975279,88,2592,1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA6944,10022,3,4338,2033721,101
TARA_MED_MAG_00082.fa,0,0,4320,1,4320,1,4320,1,0,0,0,0,,0.9967989756722151,0.83663631494376,genus,1634449,82,1630129,81,1630129,81,1630129,81,1634449,82,1634449,82,9815,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola,117789,16,4320,1820885,108
TARA_ANW_MAG_00019.fa,0,0,4314,1,4314,1,0,0,0,0,0,0,,0.9984867591424968,0.9880388736606031,genus,3730507,417,3726193,416,3726193,416,3730507,417,3730507,417,3730507,417,24448,6,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__GCA-2701845,41311,9,4314,3991736,487
TARA_PSW_MAG_00076.fa,4268,1,4268,1,4268,1,4268,1,4268,1,0,0,,0.9966523194643712,0.5908448714326081,genus,2643413,244,2643413,244,2643413,244,2643413,244,2643413,244,2647681,245,17735,6,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__JCVI-SCAAA005,324020,71,4268,3567362,430
TARA_ANE_MAG_00015.fa,4220,1,4220,1,4220,1,4220,1,4220,1,0,0,,0.9949647532729103,0.7180043383947939,genus,1128863,81,1128863,81,1128863,81,1128863,81,1128863,81,1133083,82,8878,2,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA2588;g__UBA2588,211892,19,4220,1459822,118
TARA_PON_MAG_00011.fa,0,0,4073,1,4073,1,4073,1,0,0,0,0,,0.9983611930514585,0.9148425787106447,genus,3243964,100,3239891,99,3239891,99,3239891,99,3243964,100,3243964,100,2606,1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9,63823,14,4073,3391906,130
TARA_ANE_MAG_00046.fa,0,0,4072,1,4072,1,4072,1,0,0,0,0,,0.9894736842105263,0.5485564304461942,genus,1015654,156,1011582,155,1011582,155,1011582,155,1015654,156,1015654,156,32773,9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__TMED69;g__TMED69,589203,138,4072,1897268,369
TARA_RED_MAG_00040.fa,3916,1,3916,1,3916,1,3916,1,3916,1,3916,1,,0.9989653388515262,0.9087917254348848,genus,1940004,200,1940004,200,1940004,200,1940004,200,1940004,200,1940004,200,7753,3,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589,17049,5,3916,2112073,248
TARA_ANE_MAG_00031.fa,3728,1,3728,1,3728,1,3728,1,3728,1,0,0,,0.9978925184404637,0.8576592860370538,genus,1777158,274,1777158,274,1769808,273,1777158,274,1777158,274,1780886,275,24479,8,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,78310,21,3728,2158947,382
TARA_RED_MAG_00105.fa,0,0,0,0,3702,1,0,0,0,0,0,0,,0.9795342272406493,0.7077922077922078,genus,1433745,213,1433745,213,1430043,212,1433745,213,1433745,213,1433745,213,32221,10,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,93431,25,3702,2068332,380
TARA_MED_MAG_00042.fa,0,0,3698,1,3698,1,3698,1,0,0,0,0,,0.9905660377358491,0.8474350433044637,genus,1305884,71,1276286,69,1276286,69,1276286,69,1305884,71,1305884,71,8536,3,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__TMED62,151724,29,3698,1495481,110
TARA_PSW_MAG_00081.fa,3655,1,3655,1,3655,1,3655,1,3655,1,0,0,,0.9892638036809815,0.6812957157784744,genus,728232,91,728232,91,728232,91,728232,91,728232,91,731887,92,2832,1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70,32677,9,3655,934890,145
TARA_PON_MAG_00027.fa,3634,1,3634,1,3634,1,3634,1,0,0,0,0,,0.9980033277870216,0.986863711001642,genus,2570576,453,2570576,453,2570576,453,2570576,453,2574210,454,2574210,454,50219,15,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__GCA-2698995,39765,12,3634,3160434,619
