genome,filter_at,override_filter_at,total_bad_bp,superkingdom_bad_bp,phylum_bad_bp,class_bad_bp,order_bad_bp,family_bad_bp,genus_bad_bp,f_ident,f_major,lineage,comment
TARA_ANW_MAG_00058.fa,genus,,17667,0,17667,17667,17667,17667,17667,0.993,0.719,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__AAA164-E04;g__UBA7971,
TARA_ANE_MAG_00065.fa,genus,,17228,0,0,0,0,17228,17228,0.984,0.685,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2,
TARA_PSW_MAG_00075.fa,genus,,17218,17218,17218,17218,17218,17218,17218,0.991,0.898,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N1,
TARA_PSW_MAG_00074.fa,genus,,17044,0,17044,17044,17044,17044,17044,0.977,0.378,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__MED-G09,
TARA_ANW_MAG_00072.fa,genus,,16963,0,16963,16963,16963,16963,16963,0.989,0.916,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__UBA7800,
TARA_PSE_MAG_00098.fa,genus,,16546,0,0,0,0,0,16546,0.995,0.743,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia,
TARA_PSW_MAG_00083.fa,genus,,16247,0,16247,16247,16247,16247,16247,0.989,0.52,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04,
TARA_PON_MAG_00001.fa,genus,,16163,0,0,0,0,16163,16163,0.995,0.638,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter,
TARA_PSE_MAG_00112.fa,genus,,16114,0,16114,16114,16114,16114,16114,0.995,0.643,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA12014,
TARA_MED_MAG_00090.fa,genus,,15858,0,0,0,0,15858,15858,0.988,0.707,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952,
TARA_PSW_MAG_00094.fa,genus,,15773,15773,15773,15773,15773,15773,15773,0.984,0.556,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1,
TARA_RED_MAG_00064.fa,genus,,15544,0,6184,6184,15544,15544,15544,0.984,0.704,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__UBA2963,
TARA_ION_MAG_00028.fa,genus,,15400,0,15400,15400,15400,15400,15400,0.984,0.715,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__UBA8592,
TARA_ANE_MAG_00090.fa,genus,,15247,15247,15247,15247,15247,15247,15247,1.0,0.00329,d__Eukaryota,
TARA_ANW_MAG_00048.fa,genus,,15179,0,15179,15179,15179,15179,15179,0.995,0.536,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444,
TARA_ANE_MAG_00048.fa,genus,,15091,0,0,0,15091,15091,15091,0.978,0.65,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869,
TARA_PSW_MAG_00110.fa,genus,,14150,0,0,0,0,0,14150,0.992,0.938,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668,
TARA_MED_MAG_00048.fa,genus,,14007,0,14007,14007,14007,14007,14007,0.973,0.669,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__S36-B12,
TARA_MED_MAG_00102.fa,genus,,13652,0,13652,13652,13652,13652,13652,0.979,0.581,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27,
TARA_PSE_MAG_00039.fa,genus,,13418,0,13418,13418,13418,13418,13418,0.998,0.973,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__GCA-2699025,
TARA_RED_MAG_00024.fa,genus,,13340,0,13340,13340,13340,13340,13340,0.994,0.892,d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA3505;f__UBA3505;g__UBA3505,
TARA_PSE_MAG_00042.fa,genus,,13310,0,0,0,13310,13310,13310,0.985,0.532,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,
TARA_RED_MAG_00106.fa,genus,,13293,0,13293,13293,13293,13293,13293,0.977,0.324,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70,
TARA_MED_MAG_00041.fa,genus,,13208,13208,13208,13208,13208,13208,13208,0.985,0.488,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10,
TARA_RED_MAG_00070.fa,genus,,12804,0,12804,12804,12804,12804,12804,0.971,0.372,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__UBA1328,
TARA_ION_MAG_00015.fa,genus,,12672,0,0,0,0,12672,12672,0.989,0.85,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,
TARA_PON_MAG_00018.fa,genus,,12534,0,0,12534,12534,12534,12534,0.99,0.904,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA7916;g__UBA7916,
TARA_ASW_MAG_00016.fa,genus,,12323,0,0,0,12323,12323,12323,0.99,0.825,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas,
TARA_MED_MAG_00078.fa,genus,,12073,0,0,0,0,0,12073,0.986,0.803,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1,
TARA_ANW_MAG_00046.fa,genus,,12017,12017,12017,12017,12017,12017,12017,0.998,0.697,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5,
TARA_ASW_MAG_00037.fa,genus,,11509,11509,11509,11509,11509,11509,11509,1.0,0.00693,d__Eukaryota,
TARA_IOS_MAG_00076.fa,genus,,11481,11481,11481,11481,11481,11481,11481,1.0,0.00484,d__Eukaryota,
TARA_PSE_MAG_00109.fa,genus,,11464,0,0,0,0,0,11464,0.998,0.734,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera,
TARA_ANE_MAG_00077.fa,genus,,11301,0,11301,11301,11301,11301,11301,0.979,0.35,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096,
TARA_PON_MAG_00068.fa,genus,,10582,0,10582,10582,10582,10582,10582,0.996,0.904,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__UBA7800,
TARA_ASE_MAG_00028.fa,genus,,9853,0,9853,9853,9853,9853,9853,0.895,0.213,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula,
TARA_RED_MAG_00083.fa,genus,,9842,0,9842,9842,9842,9842,9842,0.995,0.794,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__UBA8592,
TARA_ION_MAG_00042.fa,genus,,9775,0,9775,9775,9775,9775,9775,0.987,0.797,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589,
TARA_ASE_MAG_00002.fa,genus,,9764,0,9764,9764,9764,9764,9764,0.997,0.983,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA840;g__UBA6502,
TARA_ANW_MAG_00025.fa,genus,,9618,4724,4724,4724,9618,9618,9618,0.983,0.745,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA826;g__AG-426-M11,
TARA_PSW_MAG_00030.fa,genus,,9576,9576,9576,9576,9576,9576,9576,0.998,0.913,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA727;f__GCA-2721815;g__GCA-2721815,
TARA_PSE_MAG_00035.fa,genus,,9218,0,0,0,0,0,9218,0.978,0.565,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Cobetia,
TARA_RED_MAG_00102.fa,genus,,9008,0,0,0,9008,9008,9008,0.985,0.325,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__UBA830;g__UBA830,
TARA_PSW_MAG_00129.fa,genus,,8995,0,0,0,0,5189,8995,0.995,0.725,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,
TARA_ASW_MAG_00004.fa,genus,,8871,0,0,0,5783,8871,8871,0.994,0.962,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleibacter,
TARA_ANW_MAG_00007.fa,genus,,8715,0,8715,8715,8715,8715,8715,0.997,0.906,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,
TARA_MED_MAG_00024.fa,genus,,8349,0,8349,8349,8349,8349,8349,0.992,0.81,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__MedAcidi-G2A,
TARA_MED_MAG_00108.fa,genus,,8259,0,0,0,0,0,8259,0.993,0.826,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C,
TARA_PSE_MAG_00107.fa,genus,,8063,0,0,0,0,0,8063,0.984,0.52,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter,
TARA_IOS_MAG_00029.fa,genus,,7957,0,0,2969,2969,7957,7957,0.993,0.791,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421,
TARA_ANW_MAG_00045.fa,genus,,7930,7930,7930,7930,7930,7930,7930,0.992,0.596,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2,
TARA_ANE_MAG_00041.fa,genus,,7834,0,0,0,0,7834,7834,0.984,0.316,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2715565,
TARA_RED_MAG_00066.fa,genus,,7626,0,7626,7626,7626,7626,7626,0.994,0.885,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__GCA-2728255,
TARA_MED_MAG_00103.fa,genus,,7437,0,0,0,7437,7437,7437,0.999,0.636,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__HIMB100,
TARA_IOS_MAG_00078.fa,genus,,7265,7265,7265,7265,7265,7265,7265,1.0,0.0035,d__Eukaryota,
TARA_PON_MAG_00083.fa,genus,,7260,7260,7260,7260,7260,7260,7260,1.0,0.00309,d__Eukaryota,
TARA_ION_MAG_00002.fa,genus,,7216,0,7216,7216,7216,7216,7216,0.992,0.659,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,
TARA_ANW_MAG_00077.fa,genus,,7199,0,7199,7199,7199,7199,7199,0.995,0.835,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,
TARA_MED_MAG_00010.fa,genus,,7133,0,7133,7133,7133,7133,7133,0.995,0.249,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA4465,
TARA_ANW_MAG_00035.fa,genus,,7104,0,7104,7104,7104,7104,7104,0.989,0.259,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268,
TARA_MED_MAG_00065.fa,genus,,7023,0,0,7023,7023,7023,7023,0.996,0.71,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48,
TARA_RED_MAG_00055.fa,genus,,6944,0,0,0,0,0,6944,0.982,0.341,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K2,
TARA_ASE_MAG_00020.fa,genus,,6762,0,3709,3709,6762,6762,6762,0.99,0.843,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,
TARA_ASE_MAG_00022.fa,genus,,6687,0,0,0,0,0,6687,0.997,0.841,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11,
TARA_PSW_MAG_00056.fa,genus,,6598,0,0,0,0,0,6598,0.991,0.893,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia,
TARA_ASE_MAG_00011.fa,genus,,6556,0,0,0,0,6556,6556,0.986,0.666,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2,
TARA_ANW_MAG_00018.fa,genus,,6291,0,6291,6291,6291,6291,6291,0.992,0.834,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__NAT5454,
TARA_RED_MAG_00002.fa,genus,,6252,0,6252,6252,6252,6252,6252,0.992,0.503,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-2722105,
TARA_ANE_MAG_00012.fa,genus,,6182,0,6182,6182,6182,6182,6182,0.987,0.622,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA1515;g__UBA1515,
TARA_ANE_MAG_00086.fa,genus,,5989,5989,5989,5989,5989,5989,5989,1.0,0.00114,d__Eukaryota,
TARA_ION_MAG_00037.fa,genus,,5731,0,0,0,0,0,5731,0.995,0.398,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus,
TARA_RED_MAG_00041.fa,genus,,5642,0,5642,5642,5642,5642,5642,0.997,0.69,d__Bacteria;p__Chloroflexota_B;c__UBA11872;o__UBA11872;f__UBA11872;g__UBA11872,
TARA_ANE_MAG_00079.fa,genus,,5590,0,5590,5590,5590,5590,5590,0.994,0.733,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70,
TARA_ANW_MAG_00029.fa,genus,,5589,0,5589,5589,5589,5589,5589,0.995,0.788,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2711125,
TARA_ANE_MAG_00050.fa,genus,,5544,5544,5544,5544,5544,5544,5544,0.994,0.821,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__TMED25,
TARA_ANW_MAG_00061.fa,genus,,5478,5478,5478,5478,5478,5478,5478,0.97,0.252,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-2697345,
TARA_PSW_MAG_00087.fa,genus,,5373,0,5373,5373,5373,5373,5373,0.998,0.946,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__BACL24,
TARA_SOC_MAG_00010.fa,genus,,5294,0,0,5294,5294,5294,5294,0.996,0.812,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48,
TARA_IOS_MAG_00034.fa,genus,,5196,0,5196,5196,5196,5196,5196,0.994,0.843,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668,
TARA_MED_MAG_00101.fa,genus,,5083,0,5083,5083,5083,5083,5083,0.981,0.642,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A,
TARA_ANE_MAG_00032.fa,genus,,5070,0,5070,5070,5070,5070,5070,0.997,0.807,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309,
TARA_ANW_MAG_00081.fa,genus,,5011,5011,5011,5011,5011,5011,5011,1.0,0.00179,d__Eukaryota,
TARA_ASW_MAG_00044.fa,genus,,4896,0,0,0,4896,4896,4896,0.998,0.69,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,
TARA_ANW_MAG_00033.fa,genus,,4395,0,0,0,0,0,4395,0.994,0.908,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5,
TARA_IOS_MAG_00018.fa,genus,,4353,0,4353,4353,4353,4353,4353,0.997,0.589,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,
TARA_PSW_MAG_00066.fa,genus,,4338,0,4338,4338,4338,4338,4338,0.998,0.963,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA6944,
TARA_MED_MAG_00082.fa,genus,,4320,0,0,0,4320,4320,4320,0.997,0.837,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola,
TARA_ANW_MAG_00019.fa,genus,,4314,0,0,0,0,4314,4314,0.998,0.988,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__GCA-2701845,
TARA_PSW_MAG_00076.fa,genus,,4268,0,4268,4268,4268,4268,4268,0.997,0.591,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__JCVI-SCAAA005,
TARA_ANE_MAG_00015.fa,genus,,4220,0,4220,4220,4220,4220,4220,0.995,0.718,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA2588;g__UBA2588,
TARA_PON_MAG_00011.fa,genus,,4073,0,0,0,4073,4073,4073,0.998,0.915,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9,
TARA_ANE_MAG_00046.fa,genus,,4072,0,0,0,4072,4072,4072,0.989,0.549,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__TMED69;g__TMED69,
TARA_RED_MAG_00040.fa,genus,,3916,3916,3916,3916,3916,3916,3916,0.999,0.909,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589,
TARA_ANE_MAG_00031.fa,genus,,3728,0,3728,3728,3728,3728,3728,0.998,0.858,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,
TARA_RED_MAG_00105.fa,genus,,3702,0,0,0,0,0,3702,0.98,0.708,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,
TARA_MED_MAG_00042.fa,genus,,3698,0,0,0,3698,3698,3698,0.991,0.847,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__TMED62,
TARA_PSW_MAG_00081.fa,genus,,3655,0,3655,3655,3655,3655,3655,0.989,0.681,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70,
TARA_PON_MAG_00027.fa,genus,,3634,0,0,3634,3634,3634,3634,0.998,0.987,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__GCA-2698995,
TARA_ANW_MAG_00054.fa,genus,,3590,0,3590,3590,3590,3590,3590,0.993,0.737,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1,
TARA_PSW_MAG_00107.fa,genus,,3519,0,3519,3519,3519,3519,3519,0.999,0.993,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585,
TARA_PSW_MAG_00072.fa,genus,,3429,0,0,0,0,3429,3429,0.999,0.94,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__GCA-2723275,
TARA_IOS_MAG_00052.fa,genus,,3363,3363,3363,3363,3363,3363,3363,0.994,0.629,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2701885;f__GCA-2701885;g__GCA-2701885,
TARA_RED_MAG_00037.fa,genus,,3305,0,0,0,3305,3305,3305,0.997,0.745,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA998;f__UBA3002;g__GCA-2725445,
TARA_PSW_MAG_00041.fa,genus,,3279,3279,3279,3279,3279,3279,3279,0.982,0.443,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__GCA-002728855,
TARA_PSW_MAG_00135.fa,genus,,3197,3197,3197,3197,3197,3197,3197,1.0,0.00127,d__Eukaryota,
TARA_PSE_MAG_00028.fa,genus,,3087,0,0,0,0,0,3087,0.997,0.936,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA854,
TARA_RED_MAG_00075.fa,genus,,3052,0,3052,3052,3052,3052,3052,0.992,0.849,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__GCA-002723415;g__GCA-002723415,
TARA_PON_MAG_00031.fa,genus,,3049,0,0,0,3049,3049,3049,0.995,0.767,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11,
TARA_RED_MAG_00098.fa,genus,,2872,2872,2872,2872,2872,2872,2872,0.996,0.666,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04,
TARA_ANE_MAG_00007.fa,genus,,2754,0,0,0,0,2754,2754,0.998,0.978,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,
TARA_IOS_MAG_00044.fa,genus,,2715,2715,2715,2715,2715,2715,2715,0.998,0.666,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04,
TARA_ANW_MAG_00084.fa,genus,,2706,2706,2706,2706,2706,2706,2706,1.0,0.0015,d__Eukaryota,
TARA_ASW_MAG_00020.fa,genus,,2695,0,0,0,0,2695,2695,0.996,0.761,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__GCA-002708145,
TARA_PSE_MAG_00100.fa,genus,,2614,0,0,2614,2614,2614,2614,0.998,0.597,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira,
TARA_ASE_MAG_00010.fa,genus,,2593,0,0,0,0,0,2593,0.998,0.574,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544,
TARA_IOS_MAG_00031.fa,genus,,2538,0,0,0,0,2538,2538,0.996,0.892,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-002697625,
TARA_PSW_MAG_00077.fa,genus,,0,0,0,0,0,0,0,1.0,0.467,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__HIMB100,
TARA_ION_MAG_00071.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_ANE_MAG_00082.fa,none,,0,0,0,0,0,0,0,0.376,0.0701,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_RED_MAG_00009.fa,genus,,0,0,0,0,0,0,0,0.996,0.646,d__Bacteria;p__Dadabacteria;c__UBA1144;o__UBA1144;f__UBA1144;g__GCA-002715585,
TARA_IOS_MAG_00040.fa,none,,0,0,0,0,0,0,0,0.75,0.0066,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00071.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PSW_MAG_00068.fa,none,,0,0,0,0,0,0,0,0.961,0.103,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00097.fa,genus,,0,0,0,0,0,0,0,1.0,0.786,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,
TARA_ION_MAG_00054.fa,none,,0,0,0,0,0,0,0,0.0,0.00523,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_PSE_MAG_00025.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_IOS_MAG_00045.fa,genus,,0,0,0,0,0,0,0,0.999,0.798,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__Thalassarchaeum,
TARA_IOS_MAG_00013.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_MED_MAG_00022.fa,genus,,0,0,0,0,0,0,0,0.999,0.867,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__TMED69;g__TMED69,
TARA_PSW_MAG_00024.fa,none,,0,0,0,0,0,0,0,0.7,0.00618,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_IOS_MAG_00049.fa,genus,,0,0,0,0,0,0,0,1.0,0.407,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268,
TARA_ASW_MAG_00046.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_ANE_MAG_00036.fa,none,,0,0,0,0,0,0,0,0.66,0.0399,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00055.fa,genus,,0,0,0,0,0,0,0,1.0,0.573,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__UBA1859;g__UBA1859,
TARA_PSE_MAG_00085.fa,none,,0,0,0,0,0,0,0,0.0,0.00776,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_MED_MAG_00069.fa,none,,0,0,0,0,0,0,0,0.0,0.00139,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_ASW_MAG_00045.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
